Add determination to SalesOrderItem A:  determination
Ensure netAmount of SalesOrder is bigger than 0 A:  validation
Add a specific determination implementation to my entity and do the mapping automatically  A:   determination
Show me the most frequently used determination with trigger type containing ‘action called’.  A:  trigger
Add determination to salesprice A:  determination
Add determination to order A:  determination
Add determination to discount A:  determination
Add determination to SalesOrderItem A:  determination
Add determination to SalesOrderPrice A:  determination
Add determination to BEM A:  determination
Add determination to caculation A:  determination
Add determination to entity A:  determination
Add determination to waterItem A:  determination
Add determination to menu A:  determination
